time,海淀黄庄地铁站_知春路_EW_9,海淀黄庄地铁站_知春路_WE_1,望京地铁站_广顺北大街_NS_7,望京地铁站_广顺北大街_SN_2,北京西_南蜂窝路_NS_1,北京西_南蜂窝路_SN_1,北京南_马家堡东路_NS_2,北京南_马家堡东路_SN_9,西直门_西直门北大街_NS_1,西直门_西直门北大街_SN_1,三元桥_北三环东路辅路（外环）_EW_1,三元桥_北三环东路辅路（内环）_WE_1
2020-01-01,29,29,29,24,23,23,32,33,54,41,37,41
2020-01-02,30,26,27,23,11,30,34,35,14,63,25,24
2020-01-03,31,27,48,23,18,15,38,23,22,62,33,24
2020-01-04,25,27,28,39,26,23,34,39,46,54,34,30
2020-01-05,24,25,36,36,21,26,40,36,55,50,35,36
2020-01-06,36,33,22,20,24,14,35,30,37,52,28,20
2020-01-07,29,28,29,35,18,19,35,32,27,62,37,19
2020-01-08,28,31,28,31,15,15,37,28,15,61,21,18
2020-01-09,28,28,27,22,25,22,41,33,12,58,27,22
2020-01-10,29,26,30,43,11,14,38,34,8,63,22,18
2020-01-11,25,25,27,34,25,20,37,35,20,52,31,30
2020-01-12,24,33,31,30,16,25,39,36,55,56,37,34
2020-01-13,28,28,28,32,18,15,39,17,16,54,37,21
2020-01-14,26,34,33,27,21,19,39,14,17,51,34,22
2020-01-15,23,30,28,30,15,17,35,15,9,57,28,20
2020-01-16,33,22,28,27,16,10,30,30,12,62,35,20
2020-01-17,30,25,28,40,23,18,35,34,17,60,33,24
2020-01-18,23,32,32,32,22,26,35,38,29,63,36,29
2020-01-19,25,27,30,30,19,19,38,31,6,63,31,17
2020-01-20,21,24,29,31,20,15,36,26,22,55,34,24
2020-01-21,28,32,31,26,20,18,40,28,11,57,41,34
2020-01-22,31,28,31,29,26,21,35,34,13,56,32,31
2020-01-23,33,32,29,33,22,23,39,32,58,53,38,39
2020-01-24,41,29,33,58,22,21,39,35,59,54,38,36
2020-01-25,30,35,44,32,19,25,36,43,55,37,36,56
2020-01-26,44,38,35,34,23,27,38,38,47,39,31,52
2020-01-27,41,26,45,38,23,24,29,35,54,56,36,59
2020-01-28,22,59,24,22,24,11,40,17,47,42,39,45
2020-01-29,33,27,48,26,24,16,40,35,61,66,53,52
2020-01-30,18,16,27,26,27,29,37,32,57,50,45,33
2020-01-31,29,39,48,46,27,31,41,41,72,43,40,49
2020-02-01,34,37,39,15,34,14,36,33,33,61,38,31
2020-02-02,38,24,39,52,31,18,54,36,57,61,46,43
2020-02-03,56,58,42,40,20,24,43,47,53,50,39,43
2020-02-04,22,34,39,20,31,25,35,35,57,39,52,41
2020-02-05,37,30,29,32,21,35,40,25,45,52,39,46
