time,海淀黄庄地铁站_知春路_EW_9,海淀黄庄地铁站_知春路_WE_1,望京地铁站_广顺北大街_NS_7,望京地铁站_广顺北大街_SN_2,北京西_南蜂窝路_NS_1,北京西_南蜂窝路_SN_1,北京南_马家堡东路_NS_2,北京南_马家堡东路_SN_9,西直门_西直门北大街_NS_1,西直门_西直门北大街_SN_1,三元桥_北三环东路辅路（外环）_EW_1,三元桥_北三环东路辅路（内环）_WE_1
2020-01-01,34,30,28,33,24,25,35,35,53,51,36,38
2020-01-02,32,29,28,30,18,19,37,27,19,56,29,21
2020-01-03,28,28,31,30,19,19,37,28,22,54,26,23
2020-01-04,29,26,31,36,24,25,37,36,45,56,35,37
2020-01-05,29,28,30,32,24,27,37,35,55,55,36,38
2020-01-06,29,27,26,30,20,19,36,30,28,51,28,20
2020-01-07,28,28,30,30,18,15,36,31,24,55,28,22
2020-01-08,28,30,29,26,16,15,36,31,15,54,25,19
2020-01-09,30,30,31,37,24,18,37,31,14,53,23,20
2020-01-10,27,27,32,37,18,14,36,30,9,56,22,22
2020-01-11,24,26,32,28,22,23,36,26,29,56,31,36
2020-01-12,28,29,34,32,21,27,35,37,50,56,37,39
2020-01-13,28,31,28,31,17,15,37,24,17,56,31,19
2020-01-14,27,28,30,29,16,16,38,21,20,55,31,21
2020-01-15,29,29,29,31,17,14,36,23,11,54,27,21
2020-01-16,30,29,29,32,19,18,34,28,19,56,32,21
2020-01-17,30,28,30,31,17,16,36,30,21,55,33,23
2020-01-18,27,28,33,32,23,22,33,35,42,55,34,36
2020-01-19,25,25,32,29,21,14,36,25,12,56,31,21
2020-01-20,26,27,29,32,20,16,36,26,19,53,34,25
2020-01-21,27,29,32,32,19,20,36,27,11,56,36,30
2020-01-22,29,29,33,35,21,20,37,29,11,54,35,34
2020-01-23,31,31,32,34,21,22,37,33,36,55,39,43
2020-01-24,32,30,34,39,22,27,39,36,58,55,40,48
2020-01-25,29,26,30,36,22,26,38,39,57,52,38,42
2020-01-26,34,34,27,32,19,26,37,39,58,53,39,39
2020-01-27,41,26,36,39,22,31,34,39,57,64,40,50
2020-01-28,30,38,32,35,30,25,40,39,55,54,39,37
2020-01-29,39,26,39,27,20,26,35,38,58,66,44,48
2020-01-30,21,34,31,30,23,36,37,34,57,56,45,39
2020-01-31,29,33,32,40,29,30,41,37,57,51,40,41
2020-02-01,32,36,33,21,29,22,40,35,51,62,42,39
2020-02-02,43,27,33,33,26,28,41,42,51,60,40,44
2020-02-03,34,34,35,41,26,31,33,38,50,57,41,45
2020-02-04,30,36,44,26,26,31,33,38,54,55,42,39
2020-02-05,33,30,32,30,23,35,33,36,54,55,44,44
2020-02-06,21,18,28,32,22,26,31,27,33,47,31,33
2020-02-07,29,30,32,23,23,21,40,35,49,58,35,39
2020-02-08,36,28,50,30,23,36,40,38,54,56,40,44
2020-02-09,30,16,47,27,26,28,40,37,57,63,45,41
2020-02-10,24,30,29,24,21,26,36,35,34,56,37,38
2020-02-11,24,30,29,24,21,26,36,35,34,56,37,38
2020-02-12,32,27,41,32,22,32,33,35,48,58,39,43
2020-02-13,37,30,30,36,23,31,36,34,44,59,38,43
2020-02-14,36,33,34,25,30,28,32,37,27,56,37,41
2020-02-15,21,34,21,32,32,32,31,42,61,59,44,41
2020-02-16,23,38,35,34,26,30,35,37,66,63,41,37
2020-02-17,31,30,38,40,33,28,37,36,27,58,34,33
2020-02-18,33,36,31,29,29,29,37,34,30,56,37,38
2020-02-19,28,35,38,32,29,26,35,40,36,58,35,40
2020-02-20,33,36,37,29,25,30,32,37,41,50,36,40
2020-02-21,32,35,33,37,26,29,35,37,39,53,38,40
2020-02-22,35,29,33,23,25,26,38,36,62,65,40,43
2020-02-23,37,31,36,34,28,33,37,39,59,61,37,36
2020-02-24,34,27,39,30,23,27,29,43,54,48,33,44
2020-02-25,27,33,35,35,28,31,37,39,34,57,36,34
2020-02-26,33,37,33,34,29,27,36,33,37,53,34,36
2020-02-27,29,33,30,36,25,25,36,36,34,56,36,36
2020-02-28,33,35,32,28,26,28,35,36,34,59,33,37
2020-02-29,28,34,40,27,30,31,30,36,56,66,38,33
2020-03-01,33,26,32,25,30,33,37,33,59,53,41,42
2020-03-02,31,31,31,29,28,24,32,35,30,56,32,26
2020-03-03,30,31,33,24,26,24,38,39,36,53,33,33
2020-03-04,32,30,35,28,23,28,37,34,36,56,32,33
2020-03-05,33,28,33,19,26,30,36,39,36,54,32,33
2020-03-06,28,29,37,26,25,30,32,34,33,53,29,34
2020-03-07,27,29,29,29,23,34,43,42,55,50,34,44
2020-03-08,34,39,46,41,23,27,35,33,59,62,42,42
2020-03-09,37,33,34,25,21,19,34,34,29,54,31,27
2020-03-10,34,31,35,32,18,25,38,39,15,53,32,32
2020-03-11,33,31,32,30,24,23,36,37,26,58,33,26
2020-03-12,33,32,31,34,24,26,32,33,34,54,31,26
2020-03-13,31,31,33,34,25,21,38,35,28,56,31,29
2020-03-14,34,30,31,39,30,20,35,33,56,60,39,38
2020-03-15,32,36,34,32,25,33,35,41,53,65,37,37
2020-03-16,32,30,32,29,23,24,41,36,25,46,25,26
2020-03-17,32,33,34,30,27,19,40,36,30,52,29,27
2020-03-18,28,29,35,32,22,20,39,35,30,55,28,28
2020-03-19,35,30,37,34,29,23,37,34,27,52,27,28
2020-03-20,31,30,33,32,22,22,36,33,30,50,32,26
2020-03-21,39,32,21,31,26,29,34,37,54,55,34,36
2020-03-22,21,33,36,59,30,63,38,38,47,57,32,42
2020-03-23,42,28,31,23,23,25,38,31,15,49,27,26
2020-03-24,25,29,36,35,24,20,32,33,26,45,25,21
2020-03-25,29,27,33,32,25,20,31,30,28,57,27,25
2020-03-26,29,34,30,27,25,18,35,35,21,53,26,25
2020-03-27,28,29,30,34,23,20,33,32,25,51,27,26
2020-03-28,29,33,28,20,26,31,38,34,57,57,34,39
2020-03-29,27,33,29,59,29,34,37,35,60,55,38,41
2020-03-30,30,32,33,25,20,16,39,33,12,47,24,23
2020-03-31,30,31,32,27,23,20,35,31,24,52,25,24
2020-04-01,34,30,29,18,23,18,37,31,20,54,22,24
2020-04-02,29,38,32,37,22,16,37,32,17,51,26,24
2020-04-03,29,32,32,32,21,18,35,34,25,46,24,25
2020-04-04,35,29,38,41,27,26,39,33,54,61,36,42
2020-04-05,29,34,30,33,21,33,34,38,54,56,32,39
2020-04-06,27,37,32,35,22,28,38,34,53,55,34,39
2020-04-07,31,30,31,41,24,19,36,31,17,50,23,21
