time,海淀黄庄地铁站_知春路_EW_9,海淀黄庄地铁站_知春路_WE_1,望京地铁站_广顺北大街_NS_7,望京地铁站_广顺北大街_SN_2,北京西_南蜂窝路_NS_1,北京西_南蜂窝路_SN_1,北京南_马家堡东路_NS_2,北京南_马家堡东路_SN_9,西直门_西直门北大街_NS_1,西直门_西直门北大街_SN_1,三元桥_北三环东路辅路（外环）_EW_1,三元桥_北三环东路辅路（内环）_WE_1
2020-01-01,34,29,29,33,23,25,36,36,52,53,36,37
2020-01-02,33,29,26,29,16,20,35,25,14,59,28,21
2020-01-03,29,28,33,27,17,18,39,25,20,55,28,25
2020-01-04,28,26,32,39,25,27,36,36,49,55,37,38
2020-01-05,29,28,30,31,25,25,37,36,57,55,37,37
2020-01-06,35,29,23,28,18,17,35,30,27,53,27,20
2020-01-07,29,30,32,35,22,15,36,33,22,58,28,20
2020-01-08,30,34,29,30,16,14,37,30,15,54,22,18
2020-01-09,30,29,30,35,22,16,37,32,15,53,27,19
2020-01-10,27,27,31,41,15,14,37,28,7,58,22,21
2020-01-11,23,26,34,31,21,21,35,25,23,56,31,35
2020-01-12,26,29,31,27,21,24,36,37,53,55,37,38
2020-01-13,30,30,29,29,15,14,37,19,15,55,31,20
2020-01-14,26,28,31,25,16,16,39,16,16,57,31,20
2020-01-15,28,30,28,31,14,16,38,16,8,56,27,21
2020-01-16,30,29,30,30,19,17,34,25,13,57,34,20
2020-01-17,29,30,32,30,17,16,35,27,16,55,34,23
2020-01-18,26,29,33,31,23,23,34,36,39,54,36,35
2020-01-19,22,25,34,28,20,15,37,22,7,57,29,21
2020-01-20,26,28,29,31,19,16,35,24,21,53,35,27
2020-01-21,25,28,32,32,21,19,36,22,9,55,37,31
2020-01-22,30,30,33,30,23,18,37,27,10,52,35,33
2020-01-23,30,30,30,37,21,21,38,31,40,54,38,44
2020-01-24,37,31,36,46,20,27,39,38,59,57,43,47
2020-01-25,30,32,37,28,24,31,36,38,54,55,37,45
2020-01-26,37,37,31,36,21,29,37,37,56,52,39,44
2020-01-27,48,23,39,37,23,24,32,38,57,63,35,53
2020-01-28,28,51,28,40,26,17,39,39,57,54,40,35
2020-01-29,43,27,43,24,22,22,37,41,62,63,47,48
2020-01-30,16,25,29,20,25,37,35,36,61,55,46,40
2020-01-31,24,33,33,42,27,30,38,39,57,51,41,40
2020-02-01,31,35,34,24,27,19,41,39,52,60,42,35
2020-02-02,43,25,35,41,26,31,45,45,53,52,39,39
2020-02-03,41,41,32,41,23,33,29,41,52,56,42,46
2020-02-04,33,36,41,21,27,32,30,38,56,54,42,42
2020-02-05,29,31,32,30,20,32,28,29,55,53,43,43
2020-02-06,24,16,28,23,22,26,34,25,29,44,32,33
2020-02-07,31,30,33,15,19,23,40,31,53,56,34,39
2020-02-08,37,28,50,24,27,31,42,37,57,60,38,45
2020-02-09,36,13,45,24,29,19,40,39,59,64,44,46
2020-02-10,21,26,30,22,21,28,34,35,33,53,36,37
2020-02-11,21,26,30,22,21,28,34,35,33,53,36,37
2020-02-12,31,27,44,34,16,30,30,41,47,57,38,44
2020-02-13,31,33,19,37,20,29,37,34,44,55,38,42
2020-02-14,32,39,31,20,26,25,37,34,20,54,39,40
2020-02-15,18,35,25,28,30,33,28,41,60,57,44,38
2020-02-16,19,40,34,42,24,26,33,38,59,64,38,32
2020-02-17,32,25,38,41,21,26,30,36,21,62,34,33
2020-02-18,34,36,31,31,31,24,37,37,22,54,36,39
2020-02-19,24,37,36,37,29,29,31,40,37,56,36,40
2020-02-20,37,36,34,28,25,21,32,37,38,48,35,40
2020-02-21,36,34,24,41,27,31,35,38,41,58,36,42
2020-02-22,39,34,33,23,22,26,39,35,59,64,42,45
2020-02-23,41,22,34,29,26,35,29,35,61,58,34,40
2020-02-24,41,22,34,29,26,35,29,35,61,58,34,40
2020-02-25,24,32,31,35,29,29,36,40,35,57,34,36
2020-02-26,34,40,34,33,32,25,37,35,39,55,34,37
2020-02-27,28,30,28,34,23,24,35,38,36,55,35,39
2020-02-28,31,33,30,28,26,22,32,37,32,61,31,38
2020-02-29,29,33,38,27,31,33,25,31,51,61,44,32
2020-03-01,35,15,36,25,28,28,32,27,60,58,41,44
2020-03-02,32,30,33,27,30,25,34,35,26,53,29,26
2020-03-03,27,30,33,22,27,25,41,38,38,53,29,30
2020-03-04,31,31,33,25,24,24,37,35,36,52,30,33
