time,海淀黄庄地铁站_知春路_EW_9,海淀黄庄地铁站_知春路_WE_1,望京地铁站_广顺北大街_NS_7,望京地铁站_广顺北大街_SN_2,北京西_南蜂窝路_NS_1,北京西_南蜂窝路_SN_1,北京南_马家堡东路_NS_2,北京南_马家堡东路_SN_9,西直门_西直门北大街_NS_1,西直门_西直门北大街_SN_1,三元桥_北三环东路辅路（外环）_EW_1,三元桥_北三环东路辅路（内环）_WE_1
2020-01-01,34,30,30,33,24,26,36,36,52,51,36,38
2020-01-02,34,29,28,29,17,19,36,26,17,58,29,21
2020-01-03,29,29,31,28,19,17,38,27,23,55,27,24
2020-01-04,28,27,30,38,23,26,36,36,46,57,35,38
2020-01-05,30,28,29,33,25,26,37,36,56,55,36,37
2020-01-06,31,28,25,30,20,19,36,31,27,51,28,20
2020-01-07,28,29,31,32,19,15,37,33,24,56,28,21
2020-01-08,29,32,29,26,16,15,37,30,17,54,24,19
2020-01-09,31,30,31,38,23,18,37,31,14,54,25,19
2020-01-10,27,27,33,39,18,14,36,30,8,56,22,22
2020-01-11,24,26,33,30,21,23,35,26,27,56,31,35
2020-01-12,27,29,32,31,22,28,35,37,52,56,37,39
2020-01-13,30,31,28,30,16,15,37,23,17,55,31,20
2020-01-14,28,29,32,27,15,15,39,20,20,57,31,20
2020-01-15,28,28,29,30,15,15,37,21,10,54,26,21
2020-01-16,30,28,30,34,19,19,34,26,18,56,34,20
2020-01-17,30,29,30,30,16,16,36,29,20,55,33,24
2020-01-18,27,28,36,32,23,23,34,35,41,55,35,35
2020-01-19,23,25,33,30,21,14,37,24,10,56,31,21
2020-01-20,26,28,30,32,19,16,36,25,21,54,34,26
2020-01-21,27,28,32,32,19,20,36,25,10,57,36,30
2020-01-22,30,29,33,33,22,18,37,28,11,53,35,33
2020-01-23,30,30,30,36,21,22,37,32,37,53,38,43
2020-01-24,34,29,33,43,21,26,39,37,58,55,41,48
2020-01-25,30,28,33,35,22,28,37,38,55,54,38,42
2020-01-26,36,37,27,33,19,27,37,38,57,55,39,42
2020-01-27,43,24,39,36,21,27,33,38,59,63,38,49
2020-01-28,28,44,28,39,29,22,40,41,54,52,41,34
2020-01-29,40,28,41,26,19,24,35,37,58,66,46,49
2020-01-30,20,35,30,23,25,35,37,36,59,55,45,39
2020-01-31,27,35,31,41,29,30,39,38,56,50,41,40
2020-02-01,31,35,32,21,26,20,41,34,52,61,44,37
2020-02-02,43,25,34,34,26,30,43,43,51,57,40,43
2020-02-03,36,35,34,44,26,33,31,39,50,55,41,46
2020-02-04,31,36,42,25,26,29,32,38,55,56,41,41
2020-02-05,30,31,30,30,19,36,31,34,54,54,43,43
2020-02-06,21,17,28,29,20,25,33,27,32,44,31,32
2020-02-07,30,30,30,21,22,23,40,32,51,56,35,39
2020-02-08,38,29,52,26,23,39,41,38,54,55,37,43
2020-02-09,32,14,45,25,27,25,37,37,57,59,45,45
2020-02-10,24,28,29,22,20,27,36,35,33,55,37,37
2020-02-11,24,28,29,22,20,27,36,35,33,55,37,37
2020-02-12,31,26,44,32,20,32,32,39,48,58,39,43
2020-02-13,35,32,24,36,20,31,35,34,42,59,38,43
2020-02-14,34,35,34,23,29,24,34,36,23,55,37,42
2020-02-15,20,36,22,32,29,32,31,41,61,60,43,39
2020-02-16,22,39,33,35,23,29,35,37,60,62,40,36
2020-02-17,31,28,40,43,28,29,37,36,25,58,34,32
2020-02-18,33,36,31,27,30,26,35,36,27,55,37,39
2020-02-19,27,36,37,34,30,27,34,40,36,57,36,39
2020-02-20,35,35,34,29,25,24,30,36,41,49,36,40
2020-02-21,33,32,30,39,27,28,35,38,40,56,37,40
2020-02-22,36,32,31,22,25,26,38,37,59,62,42,44
2020-02-23,38,29,35,32,26,35,33,38,60,64,36,37
2020-02-24,24,30,34,25,20,32,45,43,50,31,36,40
2020-02-25,26,33,34,35,26,30,39,39,34,58,34,35
2020-02-26,34,37,34,33,31,26,37,33,36,54,35,36
2020-02-27,29,32,29,34,24,25,33,38,35,56,35,37
2020-02-28,33,34,31,26,27,24,35,34,32,60,33,38
2020-02-29,28,32,39,28,31,33,27,33,53,69,40,32
2020-03-01,34,21,34,25,29,33,36,30,59,51,41,41
2020-03-02,31,31,32,27,29,24,33,34,29,54,30,26
2020-03-03,29,30,32,22,27,23,38,39,38,54,31,32
2020-03-04,31,31,35,29,25,28,36,34,36,54,32,33
2020-03-05,34,26,35,19,25,29,35,39,37,53,31,32
2020-03-06,29,30,40,24,25,25,33,35,32,54,29,34
2020-03-07,23,29,32,29,25,33,45,44,57,49,35,43
2020-03-08,39,41,47,42,22,30,33,33,63,65,43,41
2020-03-09,37,33,34,23,20,16,34,36,28,53,31,26
