time,海淀黄庄地铁站_知春路_EW_9,海淀黄庄地铁站_知春路_WE_1,望京地铁站_广顺北大街_NS_7,望京地铁站_广顺北大街_SN_2,北京西_南蜂窝路_NS_1,北京西_南蜂窝路_SN_1,北京南_马家堡东路_NS_2,北京南_马家堡东路_SN_9,西直门_西直门北大街_NS_1,西直门_西直门北大街_SN_1,三元桥_北三环东路辅路（外环）_EW_1,三元桥_北三环东路辅路（内环）_WE_1
2020-01-01,29,27,27,43,25,25,37,34,57,54,33,39
2020-01-02,22,26,26,20,25,13,41,28,7,43,27,23
2020-01-03,27,21,34,36,27,22,36,33,9,51,24,24
2020-01-04,33,28,38,33,28,25,39,40,54,58,41,40
2020-01-05,28,36,37,25,21,30,40,34,58,58,34,41
2020-01-06,24,23,23,30,18,16,34,29,8,50,23,22
2020-01-07,29,28,27,20,14,17,39,34,10,57,23,25
2020-01-08,23,22,24,15,14,13,34,31,8,56,25,22
2020-01-09,30,30,31,41,20,18,38,29,8,56,21,20
2020-01-10,26,28,30,40,15,20,32,28,8,54,25,26
2020-01-11,25,24,34,21,29,22,36,37,56,59,37,44
2020-01-12,37,25,29,28,18,16,36,32,59,61,36,42
2020-01-13,22,31,28,34,22,16,35,28,8,58,28,23
2020-01-14,19,27,26,29,21,22,36,33,14,55,30,22
2020-01-15,28,30,31,35,22,17,33,34,8,57,26,24
2020-01-16,27,32,29,28,22,18,37,34,8,55,30,22
2020-01-17,23,22,33,39,16,19,37,31,9,58,35,23
2020-01-18,29,25,22,34,20,21,26,36,57,51,38,44
2020-01-19,27,32,29,33,21,18,35,32,8,57,35,27
2020-01-20,24,30,23,16,21,19,36,34,10,56,33,25
2020-01-21,27,27,32,28,17,18,35,30,10,57,34,36
2020-01-22,28,31,32,39,22,23,35,33,12,56,33,40
2020-01-23,32,30,29,28,21,20,38,34,24,64,47,47
2020-01-24,41,37,31,29,23,25,43,37,63,46,39,50
2020-01-25,24,26,20,5,17,15,44,38,71,52,38,39
2020-01-26,35,21,38,25,9,19,33,46,53,62,39,30
2020-01-27,25,42,31,40,25,45,39,39,53,68,48,48
2020-01-28,37,14,68,27,30,22,43,23,58,78,43,49
2020-01-29,49,29,25,24,28,24,38,46,61,52,43,52
2020-01-30,23,37,37,74,21,37,35,36,52,68,35,31
2020-01-31,35,37,37,33,25,45,47,37,53,65,33,50
2020-02-01,25,39,44,23,34,18,41,42,45,82,41,37
2020-02-02,49,23,32,27,33,14,34,41,47,68,41,43
2020-02-03,31,40,41,30,21,44,30,36,49,66,40,39
2020-02-04,34,33,48,29,32,29,26,40,54,45,48,40
2020-02-05,51,35,37,32,33,24,30,51,56,51,49,48
2020-02-06,25,16,32,29,20,21,21,33,34,45,33,34
2020-02-07,25,30,33,22,13,22,46,39,53,66,39,55
2020-02-08,27,19,25,29,23,22,49,29,46,70,57,51
2020-02-09,12,40,63,32,25,33,54,29,65,78,39,24
2020-02-10,23,46,33,20,39,40,38,32,33,54,37,32
2020-02-11,23,46,33,20,39,40,38,32,33,54,37,32
2020-02-12,37,29,31,32,27,32,27,33,44,52,40,38
2020-02-13,45,24,45,41,40,40,39,29,46,66,38,43
2020-02-14,49,26,32,36,33,49,8,28,19,53,45,50
2020-02-15,29,37,5,24,23,31,13,36,56,55,33,38
2020-02-16,35,36,32,29,32,36,16,35,61,74,42,32
2020-02-17,36,35,31,62,47,28,39,41,23,57,42,28
