time,海淀黄庄地铁站_知春路_EW_9,海淀黄庄地铁站_知春路_WE_1,望京地铁站_广顺北大街_NS_7,望京地铁站_广顺北大街_SN_2,北京西_南蜂窝路_NS_1,北京西_南蜂窝路_SN_1,北京南_马家堡东路_NS_2,北京南_马家堡东路_SN_9,西直门_西直门北大街_NS_1,西直门_西直门北大街_SN_1,三元桥_北三环东路辅路（外环）_EW_1,三元桥_北三环东路辅路（内环）_WE_1
2020-01-01,28,30,25,32,25,22,43,39,43,45,32,36
2020-01-02,27,30,29,24,18,26,32,28,12,56,26,23
2020-01-03,30,27,40,29,16,17,35,23,15,54,28,22
2020-01-04,30,26,43,35,24,28,36,37,50,55,34,36
2020-01-05,39,22,24,25,24,25,34,38,62,54,41,42
2020-01-06,36,26,32,27,13,17,35,28,20,49,27,18
2020-01-07,26,28,31,25,19,16,37,34,13,58,27,15
2020-01-08,36,31,31,29,15,20,37,29,10,49,22,17
2020-01-09,34,36,29,33,25,16,36,33,9,52,25,18
2020-01-10,27,28,23,47,14,15,36,24,5,53,29,20
2020-01-11,27,25,38,24,27,22,32,26,22,54,32,28
2020-01-12,24,36,29,28,16,29,33,36,55,60,37,41
2020-01-13,31,30,27,38,12,21,39,15,10,55,34,25
2020-01-14,32,27,28,24,15,18,39,14,13,58,31,18
2020-01-15,30,29,26,21,16,12,38,17,7,58,29,23
2020-01-16,29,26,20,28,20,10,31,22,9,57,35,22
2020-01-17,35,27,33,26,24,21,35,20,10,57,39,23
2020-01-18,26,25,33,25,20,23,29,33,37,58,35,34
2020-01-19,21,26,23,27,14,15,32,13,6,62,28,20
2020-01-20,21,30,30,37,22,18,33,22,10,48,37,27
2020-01-21,24,26,31,33,24,18,38,18,9,50,41,34
2020-01-22,28,31,28,32,29,15,37,27,9,49,39,34
2020-01-23,30,29,33,26,20,24,37,33,48,50,41,46
2020-01-24,36,39,56,58,19,33,37,36,57,64,33,46
2020-01-25,30,36,32,27,21,34,38,37,53,54,39,60
2020-01-26,42,39,46,53,23,30,37,48,53,44,38,47
2020-01-27,56,14,27,38,26,24,20,40,58,68,37,62
2020-01-28,33,97,32,42,18,12,42,30,58,55,49,26
2020-01-29,49,22,48,23,22,40,31,34,63,62,53,50
2020-01-30,18,6,27,21,28,34,38,48,63,73,47,39
2020-01-31,18,22,36,44,23,28,41,45,46,54,41,45
2020-02-01,32,37,42,32,25,15,36,41,54,60,38,37
2020-02-02,49,24,39,49,31,23,47,61,53,56,38,32
2020-02-03,56,58,38,35,25,32,32,35,52,68,48,52
2020-02-04,36,43,35,16,33,34,31,38,49,55,48,42
2020-02-05,37,34,30,32,14,28,35,14,59,43,44,43
2020-02-06,25,17,32,19,30,19,34,20,36,44,28,28
2020-02-07,34,26,32,26,5,25,41,30,58,65,33,39
2020-02-08,40,32,47,21,40,36,33,37,55,40,31,40
2020-02-09,42,9,36,23,34,21,44,26,65,67,40,33
2020-02-10,23,32,33,26,23,28,35,43,28,70,37,37
2020-02-11,23,32,33,26,23,28,35,43,28,70,37,37
2020-02-12,26,21,32,25,12,22,39,45,53,38,42,46
2020-02-13,20,38,15,31,23,37,29,38,53,35,38,40
2020-02-14,31,40,30,14,22,27,36,37,17,53,44,45
2020-02-15,27,36,25,29,37,41,21,29,76,54,47,45
2020-02-16,18,49,29,53,27,32,34,32,51,70,38,29
2020-02-17,36,18,33,39,26,21,24,39,12,66,38,26
2020-02-18,36,36,30,39,23,16,39,35,20,53,41,43
2020-02-19,38,37,28,52,33,43,38,26,43,66,33,41
2020-02-20,20,38,42,20,33,15,42,27,34,62,36,47
2020-02-21,34,32,27,17,29,29,36,42,36,48,32,48
2020-02-22,42,33,47,26,10,23,34,32,57,66,35,46
2020-02-23,44,16,34,29,30,34,32,32,40,55,36,32
2020-02-24,44,16,34,29,30,34,32,32,40,55,36,32
2020-02-25,27,33,35,42,33,31,23,36,44,49,34,30
2020-02-26,34,54,37,33,26,26,32,36,41,61,33,38
2020-02-27,27,38,23,40,21,21,29,31,45,56,30,43
2020-02-28,37,33,39,26,34,28,28,33,26,69,30,40
2020-02-29,30,43,26,30,22,30,18,39,55,71,53,36
2020-03-01,39,21,40,26,32,23,36,38,50,60,38,45
2020-03-02,30,33,29,36,22,16,39,38,19,50,31,25
2020-03-03,22,31,49,24,27,33,49,37,41,47,24,32
2020-03-04,30,27,29,28,14,22,36,37,42,55,29,36
2020-03-05,30,23,33,18,26,42,39,56,47,54,37,32
2020-03-06,35,20,35,13,14,19,49,42,20,58,28,30
2020-03-07,24,30,37,29,27,32,51,60,58,51,33,43
2020-03-08,46,49,47,45,19,30,42,31,72,83,40,44
2020-03-09,31,39,36,22,23,9,33,39,26,54,30,24
2020-03-10,36,19,29,33,21,32,43,31,15,48,32,37
2020-03-11,32,29,32,32,29,14,30,39,8,47,35,24
2020-03-12,42,33,31,34,27,22,38,32,27,58,29,22
2020-03-13,27,32,29,34,23,15,41,20,21,59,25,21
2020-03-14,37,28,6,44,24,22,33,38,36,65,43,35
2020-03-15,36,29,37,52,25,39,37,38,61,71,32,32
2020-03-16,41,26,29,34,36,19,41,37,10,47,21,27
2020-03-17,29,39,30,25,10,26,39,41,23,41,30,26
2020-03-18,36,35,34,37,17,22,31,33,25,51,26,26
2020-03-19,45,40,36,23,15,9,43,44,25,40,29,25
